num;rms;felt;sm;magType;agency;cdi;gap;localTime;place;mag;mmi;nst;maxPGA
35;1.1;203;True;M;SGC;6;41.0;2023-08-17 12:40;Guayabetal - Cundinamarca, Colombia;4.8;6.0;105;23.963834
36;1.0;767;True;M;SGC;6;46.0;2023-08-17 12:17;Villavicencio - Meta, Colombia;5.6;7.0;101;59.675425
37;1.0;4;True;MLr_3;SGC;2;77.0;2023-08-17 12:07;San Juanito - Meta, Colombia;4.5;6.0;52;2.916523
38;0.9;4260;True;M;SGC;6;47.0;2023-08-17 12:04;El Calvario - Meta, Colombia;6.1;7.0;96;101.949423
39;1.1;423;True;M;SGC;5;34.0;2023-08-17 08:28;Ituango - Antioquia, Colombia;4.3;4.0;91;4.097998
40;0.9;4;False;MLr_3;SGC;2;54.0;2023-08-16 21:26;Mesetas - Meta, Colombia;2.6;;49;
44;1.3;0;True;M;SGC;0;35.0;2023-08-14 10:55;Tarazá - Antioquia, Colombia;4.7;5.0;109;
49;1.3;114;True;MLr_4;SGC;4;34.0;2023-08-11 12:59;Ituango - Antioquia, Colombia;4.4;4.0;96;12.579915
51;1.1;7;False;MLr_3;SGC;4;64.0;2023-08-10 20:27;Los Santos - Santander, Colombia;3.8;;85;
56;1.1;14;False;MLr_2;SGC;3;22.0;2023-08-08 09:05;Guamo - Tolima, Colombia;3.2;;59;
61;1.3;12;True;MLr_3;SGC;3;60.0;2023-08-06 06:09;Zapatoca - Santander, Colombia;4.2;3.0;101;1.880635
62;1.1;21;False;MLr_3;SGC;5;41.0;2023-08-05 23:09;Quetame - Cundinamarca, Colombia;2.8;;57;
65;1.2;38;False;MLr_1;SGC;4;59.0;2023-08-03 22:07;Argelia - Valle del Cauca, Colombia;3.0;;83;
66;1.3;546;True;MLr_2;SGC;4;55.0;2023-08-03 17:09;El Cerrito - Valle del Cauca, Colombia;4.7;4.0;103;2.354315
69;0.6;410;False;MLr_2;SGC;4;98.0;2023-08-01 23:17;La Estrella - Antioquia, Colombia;2.0;;30;
71;1.4;5;False;MLr_3;SGC;4;65.0;2023-08-01 21:00;Campohermoso - Boyacá, Colombia;2.6;;32;
72;1.2;4;False;MLr_2;SGC;3;52.0;2023-08-01 03:42;Ituango - Antioquia, Colombia;2.5;;30;
76;1.0;26;False;MLr_3;SGC;4;58.0;2023-07-27 22:15;Zapatoca - Santander, Colombia;2.9;;45;
