Categoría,Fabricante,Material,Enlace
Vidrio,LZOS,LF5,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/LF5.yml
Vidrio,LZOS,LF7,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/LF7.yml
Vidrio,LZOS,LF9,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/LF9.yml
Vidrio,LZOS,LK3,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/LK3.yml
Vidrio,LZOS,LK5,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/LK5.yml
Vidrio,LZOS,LK6,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/LK6.yml
Vidrio,LZOS,TF1,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TF1.yml
Vidrio,LZOS,TF10,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TF10.yml
Vidrio,LZOS,TF2,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TF2.yml
Vidrio,LZOS,TF3,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TF3.yml
Vidrio,LZOS,TF4,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TF4.yml
Vidrio,LZOS,TF5,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TF5.yml
Vidrio,LZOS,TF7,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TF7.yml
Vidrio,LZOS,TF8,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TF8.yml
Vidrio,LZOS,TK12,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK12.yml
Vidrio,LZOS,TK14,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK14.yml
Vidrio,LZOS,TK16,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK16.yml
Vidrio,LZOS,TK17,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK17.yml
Vidrio,LZOS,TK2,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK2.yml
Vidrio,LZOS,TK20,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK20.yml
Vidrio,LZOS,TK21,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK21.yml
Vidrio,LZOS,TK23,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK23.yml
Vidrio,LZOS,TK9,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/lzos/TK9.yml
Vidrio,Corning,EagleXG,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/corning/EagleXG.yml
Vidrio,Barberini,D0082,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0082.yml
Vidrio,Barberini,D0191,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0191.yml
Vidrio,Barberini,D0290,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0290.yml
Vidrio,Barberini,D0391,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0391.yml
Vidrio,Barberini,D0587,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0587.yml
Vidrio,Barberini,D0687,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0687.yml
Vidrio,Barberini,D0785,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0785.yml
Vidrio,Barberini,D0888,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0888.yml
Vidrio,Barberini,D0891,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0891.yml
Vidrio,Barberini,D0991,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D0991.yml
Vidrio,Barberini,D1125,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1125.yml
Vidrio,Barberini,D1214,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1214.yml
Vidrio,Barberini,D1219,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1219.yml
Vidrio,Barberini,D1230,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1230.yml
Vidrio,Barberini,D1420,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1420_1.yml
Vidrio,Barberini,D1426,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1426-D1526.yml
Vidrio,Barberini,D1511,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D1511.yml
Vidrio,Barberini,D4150,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D4150.yml
Vidrio,Barberini,D5336,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D5336_1.yml
Vidrio,Barberini,D6117,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6117.yml
Vidrio,Barberini,D6420,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6420.yml
Vidrio,Barberini,D6526,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6526-D6626.yml
Vidrio,Barberini,D6625,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6625.yml
Vidrio,Barberini,D6726,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D6726-D6826.yml
Vidrio,Barberini,D9148,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/glass/barberini/D9148.yml
Materia Inorgánica,Sinnock,Ar,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/Ar/Sinnock-liquid-90K.yml
Materia Inorgánica,Smith,CO,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/CO1/Smith.yml
Materia Inorgánica,Ghosal,CS2,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/CS2/Ghosal.yml
Materia Inorgánica,Weber,D,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/D2/Weber.yml
Materia Inorgánica,Bond,GaP,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/GaP/Bond.yml
Materia Inorgánica,Sinnock,Kr,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/Kr/Sinnock-solid-115.95K.yml
Materia Inorgánica,Munkhbat,ReS2,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/ReS2/Munkhbat-gamma.yml
Materia Inorgánica,Arndt,Sc2O3,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/Sc2O3/Arndt.yml
Materia Inorgánica,Campel,Se,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/Se/Campel-o.yml
Materia Inorgánica,Hass,SiO,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/main/SiO/Hass.yml
Materia Orgánica,Gupta,Polydimethylsiloxane,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/organic/(C2H6OSi)n%20-%20polydimethylsiloxane/Gupta-UV.yml
Materia Orgánica,Ghosal,Tetrachloride,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/organic/CCl4%20-%20carbon%20tetrachloride/Ghosal.yml
Materia Orgánica,Ghosal,Bromoform,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/organic/CHBr3%20-%20bromoform/Ghosal.yml
Plásticos Comerciales,Mono,CR-39,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/commercial%20plastics/CR-39/mono.yml
Plásticos Comerciales,French,Kapton,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/commercial%20plastics/Kapton/French.yml
Plásticos Comerciales,Smith,Surlyn,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/commercial%20plastics/Surlyn%20A-1601/Smith.yml
Exotico,Valentine,Metamaterial,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/exotic/metamaterials/Valentine.yml
Combustible,Wang,Biodiesel,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/fuel/biodisel/Wang-20C.yml
Mezclas,Mathar,Aire,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/mixed%20gases/air/Mathar-1.3.yml
Mezclas,Kerremans,PBDBT-ITIC,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/mixed%20organic/PBDBT-ITIC/Kerremans.yml
Mezclas,Chen,PEDOT,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/mixed%20organic/PEDOT-PSS/Chen.yml
Adhesivos Ópticos,Iezzi,Loctite,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/optical%20adhesives/Loctite-3526/Iezzi.yml
Adhesivos Ópticos,Iezzi,NOA1348,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/optical%20adhesives/NOA-1348/Iezzi.yml
Adhesivos Ópticos,Iezzi,NOA61,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/optical%20adhesives/NOA-61/Joseph.yml
Adhesivos Ópticos,Iezzi,NOA61,https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data-nk/other/optical%20adhesives/NOA-61/Joseph.yml
